f1,auc,precision,recall,accuracy,dataset,WL,n,id
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,19,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,7,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_1.csv,6,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,3,0
0.9655172413793104,0.9993650793650796,1.0,0.9333333333333332,0.9988304093567252,A1Benchmark/real_11.csv,19,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,3,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,5,0
0.967741935483871,0.9999206349206348,0.9375,1.0,0.9988304093567252,A1Benchmark/real_11.csv,19,5,1
0.9655172413793104,0.9996825396825396,1.0,0.9333333333333332,0.9988304093567252,A1Benchmark/real_11.csv,19,5,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,5,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_11.csv,19,5,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,2,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,2,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,2,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,2,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,2,4
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,3,0
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,3,1
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,3,2
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,3,3
1.0,1.0,1.0,1.0,1.0,A1Benchmark/real_12.csv,8,3,4
0.5,0.8599093531108364,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,0
0.5,0.7865677791512155,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,1
0.5,0.8281829419035847,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,2
0.5,0.8496085702513392,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,3
0.5,0.8545529460238979,1.0,0.3333333333333333,0.9975369458128078,A1Benchmark/real_13.csv,29,2,4
