Accuracy,Recall,Precision,Fscore,AUC,dataset,WL,n,id
0.947592546695807,0.500805152979066,0.13364847443059732,0.21099050203527814,0.8634422499508945,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,0
0.9566725998693192,0.5362318840579711,0.16920731707317074,0.257242178447277,0.8707034743118263,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,1
0.9309645585021292,0.534621578099839,0.10685548760862568,0.1781115879828326,0.8350202872351331,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,2
0.9396390509879908,0.3977455716586151,0.09678683385579938,0.15568862275449102,0.8105150234017248,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,3
0.9391884280017124,0.4251207729468599,0.10130468150422103,0.1636194607995042,0.8094776083869262,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,2,4
0.979016230165018,0.2560386473429952,0.2548076923076923,0.255421686746988,0.7754299756479859,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,0
0.9783145075491771,0.23671497584541065,0.2329635499207607,0.2348242811501597,0.8214499142200412,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,1
0.9729497249700072,0.38003220611916266,0.225621414913958,0.2831433713257349,0.8401117135894354,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,2
0.97387780971999,0.24154589371980675,0.18007202881152462,0.2063273727647868,0.7722873724003705,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,3
0.9803064943296286,0.2834138486312399,0.2928452579034942,0.2880523731587561,0.8190603903923489,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,3,4
0.9673483377127842,0.46215780998389705,0.2076700434153401,0.2865701447828258,0.8467432062138162,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,0
0.9760767736775964,0.2801932367149759,0.2248062015503876,0.2494623655913979,0.8033649176349256,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,1
0.9799383068662172,0.25120772946859904,0.2741652021089631,0.26218487394957984,0.8231663734494498,UCR_Anomaly_FullData/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,206,5,2
