Accuracy,Recall,Precision,Fscore,AUC,dataset,WL,n,id
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,2,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,2,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,2,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,2,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,2,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,3,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,3,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,3,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,3,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,161,3,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,2,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,2,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,2,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,2,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,2,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,3,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,3,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,3,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,3,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,3,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,5,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,5,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,5,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,5,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,81,5,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,2,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,2,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,2,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,2,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,2,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,3,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,3,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,3,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,3,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,3,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,5,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,5,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,5,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,5,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_no_noise.csv,54,5,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,2,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,2,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,2,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,2,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,2,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,3,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,3,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,3,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,3,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,161,3,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,2,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,2,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,2,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,2,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,2,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,3,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,3,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,3,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,3,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,3,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,5,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,5,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,5,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,5,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,54,5,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,2,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,2,1
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,2,2
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,2,3
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,2,4
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,3,0
1.0,0.0,0.0,0.0,,artificialNoAnomaly/art_daily_perfect_square_wave.csv,81,3,1
