Accuracy,Recall,Precision,Fscore,AUC,dataset,WL,n,id
0.9794455066921606,0.30612244897959184,0.22388059701492533,0.25862068965517243,0.7605211854995929,UCR_Anomaly_FullData/009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,400,3,0
0.9658221797323135,0.32653061224489793,0.12698412698412698,0.18285714285714288,0.7300298595859142,UCR_Anomaly_FullData/009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,400,3,1
0.9667782026768642,0.3877551020408163,0.1484375,0.2146892655367232,0.7607087333119463,UCR_Anomaly_FullData/009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,400,3,2
0.9734703632887188,0.20408163265306128,0.12195121951219512,0.15267175572519084,0.7154060656910892,UCR_Anomaly_FullData/009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,400,3,3
0.9722753346080306,0.2653061224489796,0.13978494623655913,0.18309859154929573,0.7233768477161118,UCR_Anomaly_FullData/009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,400,3,4
0.9928571428571428,0.3555555555555556,0.4324324324324325,0.3902439024390244,0.7236009265915807,UCR_Anomaly_FullData/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,250,5,0
0.995,0.24444444444444444,0.9166666666666666,0.3859649122807018,0.7470213275820752,UCR_Anomaly_FullData/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,250,5,1
0.9931428571428572,0.3333333333333333,0.4545454545454545,0.3846153846153846,0.7120472881220546,UCR_Anomaly_FullData/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,250,5,2
0.9928571428571428,0.2888888888888889,0.41935483870967744,0.34210526315789475,0.7928364885374232,UCR_Anomaly_FullData/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,250,5,3
0.9934285714285714,0.2888888888888889,0.4814814814814815,0.3611111111111111,0.7376755331895519,UCR_Anomaly_FullData/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1_5000_6168_6212.txt,250,5,4
0.9954285714285714,0.6739130434782609,0.6458333333333334,0.6595744680851064,0.9454302184541896,UCR_Anomaly_FullData/021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,0
0.9962857142857144,0.7173913043478259,0.7173913043478259,0.7173913043478259,0.9503820134798866,UCR_Anomaly_FullData/021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,1
0.9964285714285714,0.6956521739130435,0.7441860465116279,0.7191011235955057,0.9565467481962212,UCR_Anomaly_FullData/021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,2
0.9964285714285714,0.7173913043478259,0.7333333333333333,0.7252747252747253,0.9544616173362844,UCR_Anomaly_FullData/021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,3
0.9961428571428572,0.6956521739130435,0.7111111111111111,0.7032967032967032,0.950941591326856,UCR_Anomaly_FullData/021_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,4
0.9955714285714286,0.7391304347826086,0.6415094339622641,0.6868686868686867,0.9607138837828711,UCR_Anomaly_FullData/097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,0
0.9968571428571428,0.7173913043478259,0.7857142857142857,0.75,0.9529141813907542,UCR_Anomaly_FullData/097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,1
0.9972857142857144,0.8043478260869565,0.7872340425531915,0.7956989247311831,0.9650779657625892,UCR_Anomaly_FullData/097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,2
0.996,0.7608695652173914,0.6730769230769231,0.7142857142857143,0.9584849507946632,UCR_Anomaly_FullData/097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,3
0.9962857142857144,0.7391304347826086,0.7083333333333334,0.7234042553191491,0.9560965850120668,UCR_Anomaly_FullData/097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,250,5,4
0.969168260038241,0.4489795918367347,0.1774193548387097,0.2543352601156069,0.7665029736199195,UCR_Anomaly_FullData/117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,400,3,0
0.9737093690248566,0.3673469387755102,0.1855670103092784,0.2465753424657535,0.7696962218986748,UCR_Anomaly_FullData/117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,400,3,1
0.9827915869980881,0.32653061224489793,0.2909090909090909,0.30769230769230765,0.7988302939071639,UCR_Anomaly_FullData/117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,400,3,2
0.9796845124282982,0.30612244897959184,0.2272727272727273,0.2608695652173913,0.7883128100091308,UCR_Anomaly_FullData/117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,400,3,3
0.9792065009560228,0.3469387755102041,0.2361111111111111,0.2809917355371901,0.8148606963946401,UCR_Anomaly_FullData/117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,400,3,4
0.9961428571428572,0.4,1.0,0.5714285714285715,0.8195862289320235,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,0
0.9955714285714286,0.3333333333333333,0.9375,0.4918032786885246,0.8752232606438214,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,1
0.9962857142857144,0.4222222222222222,1.0,0.59375,0.8995063503474718,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,2
0.9962857142857144,0.4222222222222222,1.0,0.59375,0.8544037063663231,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,3
0.9964285714285714,0.4444444444444444,1.0,0.6153846153846153,0.8397763399632557,UCR_Anomaly_FullData/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.txt,250,5,4
0.9985714285714286,0.7826086956521741,1.0,0.878048780487805,0.97022358104813,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,0
0.9981428571428572,0.7173913043478259,1.0,0.8354430379746834,0.9707393930299734,UCR_Anomaly_FullData/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.txt,250,5,1
