Accuracy,Recall,Precision,Fscore,AUC,dataset,WL
0.1253521126760563,1.0,0.0016077170418006,0.0032102728731942,0.1258815232722144,A1Benchmark/real_1.csv,19
0.4859154929577465,1.0,0.0027322404371584,0.0054495912806539,0.4869534555712271,A1Benchmark/real_1.csv,7
0.7302816901408451,1.0,0.0051948051948051,0.0103359173126615,0.731311706629055,A1Benchmark/real_1.csv,6
0.0090340514246004,1.0,0.0090340514246004,0.0179063360881542,5.3943251699213496e-05,A1Benchmark/real_10.csv,57
0.0090340514246004,1.0,0.0090340514246004,0.0179063360881542,0.0018070989319236,A1Benchmark/real_10.csv,29
0.0097289784572619,1.0,0.0090403337969401,0.0179186767746381,0.0019959003128708,A1Benchmark/real_10.csv,14
0.0277970813064628,1.0,0.0133991537376586,0.0264439805149617,0.0169014084507042,A1Benchmark/real_11.csv,29
0.0132036136205698,1.0,0.0132036136205698,0.0260631001371742,0.0203484062268346,A1Benchmark/real_11.csv,14
0.0291869353717859,1.0,0.0134180790960451,0.0264808362369337,0.0293550778354336,A1Benchmark/real_11.csv,19
0.0048644892286309,1.0,0.0020905923344947,0.0041724617524339,0.1880222841225626,A1Benchmark/real_12.csv,29
0.0034746351633078,1.0,0.0020876826722338,0.0041666666666666,0.13347260909935,A1Benchmark/real_12.csv,19
0.0020847810979847,1.0,0.0020847810979847,0.0041608876560332,0.0053389043639739,A1Benchmark/real_12.csv,8
0.9589993050729674,0.5,0.1016949152542373,0.1690140845070422,0.944055127306704,A1Benchmark/real_13.csv,29
0.8881167477414872,0.8333333333333334,0.059171597633136,0.1104972375690607,0.8882270497547302,A1Benchmark/real_13.csv,11
0.9478804725503822,1.0,0.1379310344827586,0.2424242424242424,0.9705676243868256,A1Benchmark/real_13.csv,19
0.0486448922863099,1.0,0.0014587892049598,0.0029133284777858,0.1490953375086987,A1Benchmark/real_14.csv,57
0.0013898540653231,1.0,0.0013898540653231,0.0027758501040943,0.0273138482950591,A1Benchmark/real_14.csv,29
0.0271021542738012,1.0,0.0014265335235378,0.0028490028490028,0.0274878218510786,A1Benchmark/real_14.csv,11
0.9770674079221682,0.3,0.1034482758620689,0.1538461538461538,0.944926522043387,A1Benchmark/real_15.csv,29
0.8589298123697012,0.9,0.0426540284360189,0.0814479638009049,0.8676347095871239,A1Benchmark/real_15.csv,11
0.9735927727588604,0.5,0.131578947368421,0.2083333333333333,0.9692442267319804,A1Benchmark/real_15.csv,19
0.9822039698836412,1.0,0.1034482758620689,0.1875,0.9910836762688614,A1Benchmark/real_16.csv,29
0.9890485968514716,1.0,0.1578947368421052,0.2727272727272727,0.9945130315500686,A1Benchmark/real_16.csv,19
0.9931553730321696,1.0,0.2307692307692307,0.375,0.9954275262917238,A1Benchmark/real_16.csv,12
0.1671348314606741,1.0,0.1606510969568294,0.2768292682926829,0.2950308958887674,A1Benchmark/real_17.csv,19
0.1594101123595505,1.0,0.1594101123595505,0.2749848576620229,0.376950084462257,A1Benchmark/real_17.csv,11
0.1594101123595505,1.0,0.1594101123595505,0.2749848576620229,0.4021930744629562,A1Benchmark/real_17.csv,14
0.9822039698836412,1.0,0.1034482758620689,0.1875,0.9910836762688614,A1Benchmark/real_18.csv,29
0.9890485968514716,1.0,0.1578947368421052,0.2727272727272727,0.9945130315500684,A1Benchmark/real_18.csv,19
0.9938398357289528,1.0,0.25,0.4,0.9969135802469136,A1Benchmark/real_18.csv,12
0.2205056179775281,0.9427312775330396,0.1632341723874904,0.2782834850455137,0.4227418767182274,A1Benchmark/real_19.csv,11
0.2212078651685393,0.986784140969163,0.1684210526315789,0.287732819524727,0.2856167584894689,A1Benchmark/real_19.csv,28
0.2261235955056179,0.9691629955947136,0.1673003802281368,0.285343709468223,0.4718955980259018,A1Benchmark/real_19.csv,8
0.8790826963168867,0.9375,0.0797872340425532,0.1470588235294117,0.8979269149683766,A1Benchmark/real_2.csv,29
0.4503127171646977,1.0,0.0198265179677819,0.0388821385176184,0.5033819395643008,A1Benchmark/real_2.csv,14
0.3564975677553856,1.0,0.0169851380042462,0.0334029227557411,0.4105762473647224,A1Benchmark/real_2.csv,11
0.8558368495077355,1.0,0.1386554621848739,0.2435424354243542,0.90729105307939,A1Benchmark/real_20.csv,28
0.7271448663853727,0.9393939393939394,0.0743405275779376,0.1377777777777777,0.8032921002683422,A1Benchmark/real_20.csv,19
0.0682137834036568,1.0,0.024300441826215,0.0474478792235801,0.2671095403276828,A1Benchmark/real_20.csv,8
0.926056338028169,1.0,0.054054054054054,0.1025641025641025,0.9433050447901932,A1Benchmark/real_21.csv,28
0.5112676056338028,1.0,0.0085714285714285,0.0169971671388101,0.5693069306930693,A1Benchmark/real_21.csv,19
0.2514084507042253,1.0,0.0056127221702525,0.0111627906976744,0.2677392739273927,A1Benchmark/real_21.csv,11
0.2063380281690141,0.984126984126984,0.0521885521885521,0.0991207034372501,0.4245885531810365,A1Benchmark/real_22.csv,6
0.5507042253521127,0.6190476190476191,0.0597243491577335,0.1089385474860335,0.5024388532126189,A1Benchmark/real_22.csv,9
0.9528169014084508,0.0634920634920634,0.3333333333333333,0.1066666666666666,0.406107075598601,A1Benchmark/real_22.csv,4
0.9,0.2631578947368421,0.037593984962406,0.0657894736842105,0.5253578271159698,A1Benchmark/real_23.csv,5
0.6816901408450704,0.5789473684210527,0.0241758241758241,0.0464135021097046,0.575772944137646,A1Benchmark/real_23.csv,3
0.8626760563380281,0.2105263157894736,0.0217391304347826,0.0394088669950739,0.4880348623163905,A1Benchmark/real_23.csv,4
0.3976728268309377,1.0,0.0178571428571428,0.0350877192982456,0.4548875432525952,A1Benchmark/real_24.csv,19
0.2477754962354551,0.8125,0.011722272317403,0.0231111111111111,0.2547794117647058,A1Benchmark/real_24.csv,12
0.9589322381930184,0.875,0.1944444444444444,0.3181818181818182,0.956682525951557,A1Benchmark/real_24.csv,58
0.9442508710801394,0.2558139534883721,0.1864406779661017,0.2156862745098039,0.7344460037423148,A1Benchmark/real_25.csv,11
0.9860627177700348,0.627906976744186,0.8709677419354839,0.7297297297297297,0.9327051590483828,A1Benchmark/real_25.csv,29
0.6139372822299651,0.6976744186046512,0.052539404553415,0.0977198697068403,0.6231622560812617,A1Benchmark/real_25.csv,6
0.9547038327526132,0.4666666666666667,0.5833333333333334,0.5185185185185186,0.8095196078431373,A1Benchmark/real_26.csv,29
